25-02-27 16:39:08.687 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8088"] 
25-02-27 16:39:08.711 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/' 
25-02-27 16:39:08.713 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting... 
25-02-27 16:39:08.716 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@5d8e4fa8]] 
25-02-27 16:39:08.716 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started. 
25-02-27 16:39:08.729 [main] INFO  com.xchat.xchat.XchatApplication - Started XchatApplication in 4.862 seconds (process running for 5.562) 
25-02-27 16:39:09.286 [cluster-ClusterId{value='67c047d225324a74c8f8fb50', description='null'}-ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=143504700, setName='atlas-jdzqnp-shard-0', canonicalAddress=ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, hosts=[ac-jpykm5z-shard-00-00.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-02.dp01ztl.mongodb.net:27017, ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017], passives=[], arbiters=[], primary='ac-jpykm5z-shard-00-01.dp01ztl.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=184, topologyVersion=TopologyVersion{processId=67bf499688a46dddea6c850c, counter=3}, lastWriteDate=Thu Feb 27 16:39:08 IST 2025, lastUpdateTimeNanos=102478847548800} 
25-02-27 16:39:16.201 [http-nio-0.0.0.0-8088-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
25-02-27 16:39:16.201 [http-nio-0.0.0.0-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
25-02-27 16:39:16.202 [http-nio-0.0.0.0-8088-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms 
